# pyIrena / Irena validation dataset: modeling_hardsphere
# tool          : Modeling
# model         : Log-normal spheres with a Percus-Yevick hard-sphere structure factor
# equation      : I(Q) = I_sizedist(Q) * S_PY(Q; R_HS, phi_HS) + bg
# 
# GROUND-TRUTH PARAMETERS
#   pop1_type                  = size_dist / lognormal / sphere [-]
#   pop1_min_size              = 0              [A]
#   pop1_mean_size             = 50             [A]
#   pop1_sdeviation            = 0.12           [-]
#   pop1_scale                 = 0.2            [-]
#   pop1_contrast              = 100            [1e20 cm^-4]
#   structure_factor           = hard_sphere    [-]
#   sf_radius                  = 50             [A]
#   sf_volume_fraction         = 0.25           [-]
#   background                 = 0.01           [1/cm]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 6306.94, seed = 1762171967
#   median rel. error = 0.01005, max = 0.08505
# 
# Q range       : 0.003 to 0.5 1/A, 450 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
5.23816581e-02  2.21200791e+02
5.29819185e-02  2.18427674e+02
5.35890574e-02  2.15182389e+02
5.42031538e-02  2.11444484e+02
5.48242873e-02  2.07199030e+02
5.54525386e-02  2.02437868e+02
5.60879893e-02  1.97160776e+02
5.67307218e-02  1.91376487e+02
5.73808196e-02  1.85103453e+02
5.80383671e-02  1.78370273e+02
5.87034498e-02  1.71215711e+02
5.93761538e-02  1.63688245e+02
6.00565666e-02  1.55845138e+02
6.07447765e-02  1.47751048e+02
6.14408728e-02  1.39476234e+02
6.21449459e-02  1.31094471e+02
6.28570873e-02  1.22680790e+02
6.35773894e-02  1.14309196e+02
6.43059457e-02  1.06050503e+02
6.50428507e-02  9.79704100e+01
6.57882002e-02  9.01279308e+01
6.65420910e-02  8.25742245e+01
6.73046208e-02  7.53518662e+01
6.80758888e-02  6.84945419e+01
6.88559950e-02  6.20271280e+01
6.96450407e-02  5.59660959e+01
7.04431284e-02  5.03201687e+01
7.12503616e-02  4.50911533e+01
7.20668453e-02  4.02748761e+01
7.28926853e-02  3.58621589e+01
7.37279889e-02  3.18397820e+01
7.45728645e-02  2.81913971e+01
7.54274219e-02  2.48983594e+01
7.62917720e-02  2.19404659e+01
7.71660270e-02  1.92965901e+01
7.80503003e-02  1.69452136e+01
7.89447069e-02  1.48648591e+01
7.98493628e-02  1.30344326e+01
8.07643855e-02  1.14334847e+01
8.16898938e-02  1.00424015e+01
8.26260078e-02  8.84253613e+00
8.35728490e-02  7.81629070e+00
8.45305405e-02  6.94715812e+00
8.54992065e-02  6.21973183e+00
8.64789728e-02  5.61969074e+00
8.74699666e-02  5.13376515e+00
8.84723165e-02  4.74968891e+00
8.94861527e-02  4.45614168e+00
9.05116069e-02  4.24268470e+00
9.15488121e-02  4.09969263e+00
9.25979030e-02  4.01828357e+00
9.36590158e-02  3.99024888e+00
9.47322883e-02  4.00798411e+00
9.58178598e-02  4.06442208e+00
9.69158712e-02  4.15296920e+00
9.80264652e-02  4.26744564e+00
9.91497859e-02  4.40203058e+00
1.00285979e-01  4.55121325e+00
1.01435192e-01  4.70975098e+00
1.02597575e-01  4.87263552e+00
1.03773278e-01  5.03506897e+00
1.04962453e-01  5.19245085e+00
1.06165256e-01  5.34037793e+00
1.07381842e-01  5.47465813e+00
1.08612369e-01  5.59133965e+00
1.09856997e-01  5.68675587e+00
1.11115888e-01  5.75758542e+00
1.12389205e-01  5.80092599e+00
1.13677114e-01  5.81437821e+00
1.14979781e-01  5.79613477e+00
1.16297376e-01  5.74506773e+00
1.17630069e-01  5.66080554e+00
1.18978035e-01  5.54379059e+00
1.20341447e-01  5.39530800e+00
1.21720483e-01  5.21747782e+00
1.23115322e-01  5.01320553e+00
1.24526145e-01  4.78608960e+00
1.25953135e-01  4.54028915e+00
1.27396478e-01  4.28035956e+00
1.28856360e-01  4.01106755e+00
1.30332972e-01  3.73719951e+00
1.31826504e-01  3.46337757e+00
1.33337152e-01  3.19389633e+00
1.34865110e-01  2.93259045e+00
1.36410578e-01  2.68273934e+00
1.37973756e-01  2.44701079e+00
1.39554847e-01  2.22744196e+00
1.41154057e-01  2.02545282e+00
1.42771592e-01  1.84188541e+00
1.44407663e-01  1.67706148e+00
1.46062483e-01  1.53085119e+00
1.47736266e-01  1.40274637e+00
1.49429229e-01  1.29193316e+00
1.51141593e-01  1.19736000e+00
1.52873579e-01  1.11779864e+00
1.54625412e-01  1.05189671e+00
1.56397321e-01  9.98221617e-01
1.58189534e-01  9.55296108e-01
1.60002285e-01  9.21626647e-01
1.61835809e-01  8.95725869e-01
1.63690344e-01  8.76130799e-01
1.65566131e-01  8.61418567e-01
1.67463413e-01  8.50221282e-01
1.69382437e-01  8.41241624e-01
1.71323451e-01  8.33270302e-01
1.73286708e-01  8.25206024e-01
1.75272463e-01  8.16077866e-01
1.77280974e-01  8.05069040e-01
1.79312500e-01  7.91540073e-01
1.81367307e-01  7.75048628e-01
1.83445661e-01  7.55362649e-01
1.85547831e-01  7.32463668e-01
1.87674090e-01  7.06537836e-01
1.89824716e-01  6.77953767e-01
1.91999986e-01  6.47228162e-01
1.94200183e-01  6.14982080e-01
1.96425593e-01  5.81892265e-01
1.98676505e-01  5.48642535e-01
2.00953210e-01  5.15880016e-01
2.03256006e-01  4.84179880e-01
2.05585190e-01  4.54020635e-01
2.07941065e-01  4.25770376e-01
2.10323936e-01  3.99682956e-01
2.12734114e-01  3.75902138e-01
2.15171911e-01  3.54471375e-01
2.17637644e-01  3.35346953e-01
2.20131632e-01  3.18412572e-01
2.22654200e-01  3.03494044e-01
2.25205675e-01  2.90373306e-01
2.27786388e-01  2.78801493e-01
2.30396675e-01  2.68511204e-01
2.33036874e-01  2.59228275e-01
2.35707327e-01  2.50683429e-01
2.38408383e-01  2.42623953e-01
2.41140390e-01  2.34825226e-01
2.43903705e-01  2.27101426e-01
2.46698686e-01  2.19314349e-01
2.49525695e-01  2.11379030e-01
2.52385100e-01  2.03265021e-01
2.55277272e-01  1.94992677e-01
2.58202587e-01  1.86624675e-01
2.61161424e-01  1.78253875e-01
2.64154167e-01  1.69989304e-01
2.67181205e-01  1.61942257e-01
2.70242931e-01  1.54214274e-01
2.73339742e-01  1.46888110e-01
2.76472041e-01  1.40022138e-01
2.79640234e-01  1.33647991e-01
2.82844732e-01  1.27770874e-01
2.86085952e-01  1.22371873e-01
2.89364314e-01  1.17411664e-01
2.92680245e-01  1.12835200e-01
2.96034173e-01  1.08577137e-01
2.99426536e-01  1.04567829e-01
3.02857772e-01  1.00739670e-01
3.06328329e-01  9.70333486e-02
3.09838656e-01  9.34033492e-02
3.13389209e-01  8.98218435e-02
3.16980449e-01  8.62801986e-02
3.20612843e-01  8.27876845e-02
3.24286861e-01  7.93675616e-02
3.28002981e-01  7.60513355e-02
3.31761686e-01  7.28723411e-02
3.35563463e-01  6.98598352e-02
3.39408806e-01  6.70344670e-02
3.43298214e-01  6.44055517e-02
3.47232192e-01  6.19701724e-02
3.51211251e-01  5.97139060e-02
3.55235908e-01  5.76128985e-02
3.59306684e-01  5.56370339e-02
3.63424109e-01  5.37539292e-02
3.67588718e-01  5.19333715e-02
3.71801049e-01  5.01516011e-02
3.76061652e-01  4.83946412e-02
3.80371078e-01  4.66598676e-02
3.84729888e-01  4.49553204e-02
3.89138647e-01  4.32968523e-02
3.93597927e-01  4.17038330e-02
3.98108308e-01  4.01944959e-02
4.02670375e-01  3.87819753e-02
4.07284720e-01  3.74717309e-02
4.11951942e-01  3.62606220e-02
4.16672649e-01  3.51375737e-02
4.21447451e-01  3.40856171e-02
4.26276969e-01  3.30849928e-02
4.31161831e-01  3.21168676e-02
4.36102670e-01  3.11669830e-02
4.41100128e-01  3.02283557e-02
4.46154854e-01  2.93022089e-02
4.51267504e-01  2.83967590e-02
4.56438741e-01  2.75242044e-02
4.61669237e-01  2.66968743e-02
4.66959672e-01  2.59236881e-02
4.72310731e-01  2.52078086e-02
4.77723111e-01  2.45459073e-02
4.83197512e-01  2.39290488e-02
4.88734647e-01  2.33449362e-02
4.94335234e-01  2.27810323e-02
5.00000000e-01  2.22278047e-02
