# pyIrena / Irena validation dataset: sizes_spheroid_lognormal
# tool          : Size Distribution
# model         : Log-normal volume distribution of oblate spheroids (AR = 0.3)
# equation      : I(Q) = 1e-4*contrast*INT V(r,AR) <F_ell^2(Q,r,AR)>_orient P_V(r) dr
# 
# GROUND-TRUTH PARAMETERS
#   shape                      = spheroid       [-]
#   aspect_ratio               = 0.3            [-]   semi-axes (r, r, AR*r)
#   R_median                   = 150            [A]
#   sigma_log                  = 0.2            [-]
#   volume_fraction            = 0.008          [-]
#   contrast                   = 50             [1e20 cm^-4]
#   background                 = 0              [1/cm]
# 
# DERIVED QUANTITIES (not fitted; for cross-checking)
#   R_mode                     = 144.118        [A]
#   R_rms                      = 156.122        [A]
# 
# NOISE
#   sigma = sqrt(I/kappa + (rel*I)^2); I_obs = I + sigma*N(0,1)
#   rel systematic = 0.01, kappa = 61853.2, seed = 312993427
#   median rel. error = 0.01001, max = 0.1144
# 
# Q range       : 0.0005 to 0.3 1/A, 320 points, log-spaced
# Units         : Q [1/A], I [1/cm], dI [1/cm]
# Generated     : 2026-08-30 by generate_validation_data.py
# ----------------------------------------------------------------------
#   Q[1/A]                I[1/cm]
3.11179695e-02  1.28958940e+01
3.17482790e-02  1.20930750e+01
3.23913558e-02  1.13363054e+01
3.30474584e-02  1.06229406e+01
3.37168507e-02  9.95040882e+00
3.43998019e-02  9.31623540e+00
3.50965865e-02  8.71806311e+00
3.58074849e-02  8.15366802e+00
3.65327828e-02  7.62097085e+00
3.72727721e-02  7.11804386e+00
3.80277501e-02  6.64311325e+00
3.87980206e-02  6.19455771e+00
3.95838933e-02  5.77090318e+00
4.03856843e-02  5.37081466e+00
4.12037159e-02  4.99308538e+00
4.20383171e-02  4.63662424e+00
4.28898236e-02  4.30044195e+00
4.37585778e-02  3.98363669e+00
4.46449290e-02  3.68537975e+00
4.55492336e-02  3.40490184e+00
4.64718554e-02  3.14148031e+00
4.74131654e-02  2.89442795e+00
4.83735420e-02  2.66308322e+00
4.93533716e-02  2.44680242e+00
5.03530480e-02  2.24495363e+00
5.13729734e-02  2.05691234e+00
5.24135579e-02  1.88205878e+00
5.34752199e-02  1.71977666e+00
5.45583864e-02  1.56945303e+00
5.56634929e-02  1.43047915e+00
5.67909840e-02  1.30225197e+00
5.79413129e-02  1.18417601e+00
5.91149422e-02  1.07566546e+00
6.03123440e-02  9.76146337e-01
6.15339998e-02  8.85058370e-01
6.27804008e-02  8.01856813e-01
6.40520482e-02  7.26013882e-01
6.53494535e-02  6.57019913e-01
6.66731383e-02  5.94384226e-01
6.80236351e-02  5.37635731e-01
6.94014868e-02  4.86323314e-01
7.08072475e-02  4.40016058e-01
7.22414826e-02  3.98303355e-01
7.37047688e-02  3.60794931e-01
7.51976947e-02  3.27120852e-01
7.67208604e-02  2.96931494e-01
7.82748786e-02  2.69897513e-01
7.98603742e-02  2.45709808e-01
8.14779848e-02  2.24079463e-01
8.31283608e-02  2.04737658e-01
8.48121661e-02  1.87435521e-01
8.65300776e-02  1.71943920e-01
8.82827863e-02  1.58053156e-01
9.00709969e-02  1.45572557e-01
9.18954286e-02  1.34329955e-01
9.37568150e-02  1.24171044e-01
9.56559047e-02  1.14958625e-01
9.75934614e-02  1.06571726e-01
9.95702643e-02  9.89046342e-02
1.01587108e-01  9.18658246e-02
1.03644804e-01  8.53768291e-02
1.05744180e-01  7.93710464e-02
1.07886080e-01  7.37925243e-02
1.10071365e-01  6.85947314e-02
1.12300913e-01  6.37393424e-02
1.14575623e-01  5.91950554e-02
1.16896408e-01  5.49364625e-02
1.19264201e-01  5.09429896e-02
1.21679955e-01  4.71979206e-02
1.24144642e-01  4.36875188e-02
1.26659251e-01  4.04002520e-02
1.29224796e-01  3.73261293e-02
1.31842307e-01  3.44561493e-02
1.34512837e-01  3.17818590e-02
1.37237459e-01  2.92950190e-02
1.40017271e-01  2.69873667e-02
1.42853388e-01  2.48504684e-02
1.45746953e-01  2.28756478e-02
1.48699128e-01  2.10539784e-02
1.51711101e-01  1.93763261e-02
1.54784083e-01  1.78334277e-02
1.57919309e-01  1.64159936e-02
1.61118041e-01  1.51148217e-02
1.64381565e-01  1.39209123e-02
1.67711194e-01  1.28255759e-02
1.71108265e-01  1.18205271e-02
1.74574146e-01  1.08979600e-02
1.78110230e-01  1.00506025e-02
1.81717939e-01  9.27174949e-03
1.85398724e-01  8.55527485e-03
1.89154065e-01  7.89562525e-03
1.92985472e-01  7.28779792e-03
1.96894486e-01  6.72730636e-03
2.00882680e-01  6.21013757e-03
2.04951656e-01  5.73270422e-03
2.09103051e-01  5.29179522e-03
2.13338534e-01  4.88452721e-03
2.17659810e-01  4.50829918e-03
2.22068615e-01  4.16075176e-03
2.26566722e-01  3.83973185e-03
2.31155941e-01  3.54326310e-03
2.35838116e-01  3.26952194e-03
2.40615132e-01  3.01681865e-03
2.45488908e-01  2.78358290e-03
2.50461405e-01  2.56835276e-03
2.55534622e-01  2.36976638e-03
2.60710599e-01  2.18655559e-03
2.65991419e-01  2.01754079e-03
2.71379204e-01  1.86162638e-03
2.76876121e-01  1.71779662e-03
2.82484381e-01  1.58511147e-03
2.88206239e-01  1.46270237e-03
2.94043996e-01  1.34976795e-03
3.00000000e-01  1.24556953e-03
